0,1,2,3,4,5,6,7,8,9
921.45614953,2317.82607364,45.4,690.54300024,966.08075954,1028.79076719,349.58158436,1062.89291429,349.01622645,1432.07331799
853.22918356,2283.45153441,45.18,654.76357017,927.55917627,1013.92384859,329.57827844,1062.89291429,351.51142735,1394.76479468
921.06404053,2298.18347979,47.8,682.0453856,933.64153152,1030.27745905,353.86800706,1075.28816694,372.72063504,1417.72388595
928.71016603,2239.25569826,46.43,682.49262847,913.36701401,1010.95046487,371.96623622,1081.48579326,371.7849347,1420.59377236
978.3119545,2253.98764364,40.78,700.3823434999999,940.73761265,990.13677883,375.77638973,1090.78223274,393.61794261,1449.29263644
1031.24666947,2229.43440134,41.89,718.71930141,917.42191751,979.72993581,381.01535079999996,1093.8810459000001,401.10354532,1443.55286363
1035.16775947,2175.41726827,41.77,705.74925801,894.10622237,966.34970907,396.25596483,1072.18935378,385.82043978,1409.11422672
1080.26029445,2170.50661981,41.54,710.66892965,896.13367412,978.24324395,382.92042755,1078.3869800999998,386.75614012,1414.85399954
1089.67091044,2170.50661981,42.1,716.93032991,904.24348112,969.32309279,350.53412274,1084.58460642,401.72734554,1420.59377236
1070.84967845,2199.97051057,41.7,710.22168677,903.22975525,970.80978465,351.48666111,1081.48579326,398.2964443,1426.33354517
1092.21961894,2204.88115903,41.72,716.93032991,900.18857762,967.83640093,359.58323732,1081.48579326,402.35114577,1426.33354517
1080.26029445,2209.7918075,41.82,717.82481566,898.16112587,978.24324395,385.77804269,1087.68341958,409.52484837,1440.68297722
1067.71280646,2224.52375288,41.89,728.1114018,888.02386711,973.78316837,410.0677713,1081.48579326,402.03924566,1432.07331799
1077.90764045,2224.52375288,41.98,725.87518742,883.96896361,970.80978465,424.35584695,1087.68341958,405.78204701,1426.33354517
1072.41811445,2214.70245596,41.82,734.82004494,880.92778598,966.34970907,397.20850321,1081.48579326,400.79164521,1423.46365876
1073.39838695,2209.7918075,41.75,757.18218873,881.94151186,964.8630172000001,414.354194,1087.68341958,419.81755210000006,1426.33354517
1084.76954795,2293.27283133,41.97,762.99634611,896.13367412,976.75655209,405.7813486,1096.97985906,429.17455549,1437.81309081
1084.18138445,2268.71958903,41.96,775.96638951,897.14739999,979.72993581,403.87627185,1090.78223274,431.66975639,1440.68297722
1028.10979748,2224.52375288,41.81,751.36803134,875.8591566,973.78316837,429.11853884,1075.28816694,407.34154758,1411.98411313
1046.93102947,2253.98764364,41.86,780.88606115,881.94151186,988.65008697,441.50153774,1078.3869800999998,419.81755210000006,1417.72388595
1062.22328046,2322.7367221,41.99,806.37890507,899.17485175,1002.03031371,439.12019180000004,1078.3869800999998,427.92695504,1437.81309081
1060.85089896,2332.55801902,44.88,801.45923343,896.13367412,1005.00369743,464.83872798,1081.48579326,426.05555436,1452.16252285
