0,1,2,3,4,5,6,7,8,9
1028.79076719,1618.22609028,1240.77978991,1541.505,690.54300024,349.58158436,966.08075954,420.85732692,935.15293481,1310.17139692
1013.92384859,1535.58273949,1260.58789639,1482.3655,654.76357017,329.57827844,927.55917627,397.72623719,924.55466335,1270.09137458
1030.27745905,1578.1415908,1225.72562898,1539.566,682.0453856,353.86800706,933.64153152,403.50900962,971.37975364,1278.99804621
1010.95046487,1688.0028116,1251.87232954,1683.0520000000001,682.49262847,371.96623622,913.36701401,389.37334368,927.25240518,1260.29403579
990.13677883,1718.68477417,1241.57211417,1668.5095,700.3823434999999,375.77638973,940.73761265,412.5044334,951.91747331,1300.37405813
979.72993581,1722.14886672,1164.71666102,1628.76,718.71930141,381.01535079999996,917.42191751,398.36876746,988.52968382,1276.32604472
966.34970907,1660.29007122,1091.82282918,1628.76,705.74925801,396.25596483,894.10622237,391.30093449,928.98666778,1254.05937325
978.24324395,1608.328683,1097.36909899,1605.4920000000002,710.66892965,382.92042755,896.13367412,391.94346476,910.48786668,1250.49670457
969.32309279,1582.59542407,1088.65353214,1533.749,716.93032991,350.53412274,904.24348112,395.15611611,907.9828207,1258.51270909
970.80978465,1641.97986775,1050.6219677000001,1588.0410000000002,710.22168677,351.48666111,903.22975525,395.15611611,918.58109216,1263.8567120999999
967.83640093,1626.1440160999998,1030.81386122,1568.651,716.93032991,359.58323732,900.18857762,393.87105557,894.10871987,1259.40337626
978.24324395,1709.77710762,1071.22239844,1635.5465,717.82481566,385.77804269,898.16112587,397.08370692,902.78003289,1268.31004794
973.78316837,1756.7897922000002,1088.65353214,1673.3570000000002,728.1114018,410.0677713,888.02386711,393.87105557,921.85692152,1261.1847105999998
970.80978465,1785.49227331,1077.56099251,1677.235,725.87518742,424.35584695,883.96896361,391.94346476,925.90353426,1264.74737927
966.34970907,1753.32569965,1075.18401973,1653.967,734.82004494,397.20850321,880.92778598,393.2285253,907.59742901,1264.74737927
964.8630172000001,1734.52062582,1080.73028955,1666.5705,757.18218873,414.354194,881.94151186,391.94346476,900.85307444,1262.07537776
976.75655209,1814.19475442,1055.37591325,1728.6185,762.99634611,405.7813486,896.13367412,395.15611611,920.31535476,1280.7793883
979.72993581,1809.24605078,1002.29018789,1762.5510000000002,775.96638951,403.87627185,897.14739999,396.44117665,912.60752097,1282.56072264
973.78316837,1852.29977245,1026.05991566,1759.6425,751.36803134,429.11853884,875.8591566,386.8032226,910.68056252,1255.84070759
988.65008697,1878.03303138,1027.64456418,1794.5445,780.88606115,441.50153774,881.94151186,388.08828314,948.06355642,1262.96604493
1002.03031371,1966.61482654,1040.32175233,1861.44,806.37890507,439.12019180000004,899.17485175,393.87105557,950.95399409,1277.21671963
