date,code,close,return
2022-02-14,sh.000300,4551.6878,-0.010861474353252
2022-02-15,sh.000300,4600.1025,0.0105804766207953
2022-02-16,sh.000300,4617.9893,0.003880808053772
2022-02-17,sh.000300,4629.1649,0.0024170907501375
2022-02-18,sh.000300,4651.2358,0.0047564630718763
2022-02-21,sh.000300,4634.3141,-0.0036447424040062
2022-02-22,sh.000300,4574.1527,-0.0130667259376213
2022-02-23,sh.000300,4623.0465,0.0106324239694863
2022-02-24,sh.000300,4529.3189,-0.020482328369253
2022-02-25,sh.000300,4573.4247,0.0096907365742957
2022-02-28,sh.000300,4581.6459,0.0017959888173546
2022-03-01,sh.000300,4619.6862,0.0082684803273824
2022-03-02,sh.000300,4578.6007,-0.008933353282261
2022-03-03,sh.000300,4551.6283,-0.005908390351454
2022-03-04,sh.000300,4496.4301,-0.0122012662478177
2022-03-07,sh.000300,4352.7775,-0.0324696237377306
2022-03-08,sh.000300,4265.391,-0.0202802939119308
2022-03-09,sh.000300,4226.3463,-0.0091959922394231
2022-03-10,sh.000300,4292.8374,0.015610051975365
2022-03-11,sh.000300,4306.5217,0.0031826352154258
2022-03-14,sh.000300,4174.7577,-0.0310742274385642
2022-03-15,sh.000300,3983.812,-0.0468171708366185
2022-03-16,sh.000300,4156.081,0.0423334130872774
2022-03-17,sh.000300,4237.6956,0.0194470679921128
2022-03-18,sh.000300,4265.9017,0.0066339461874598
2022-03-21,sh.000300,4258.7459,-0.0016788498519844
2022-03-22,sh.000300,4255.295,-0.0008106374468983
2022-03-23,sh.000300,4276.5174,0.0049748969563552
2022-03-24,sh.000300,4251.3061,-0.005912733407241
2022-03-25,sh.000300,4174.5742,-0.0182138882932534
2022-03-28,sh.000300,4148.4663,-0.0062736654066295
2022-03-29,sh.000300,4134.1441,-0.0034583817379463
2022-03-30,sh.000300,4254.0989,0.0286026472817386
2022-03-31,sh.000300,4222.5968,-0.007432670970271
2022-04-01,sh.000300,4276.158,0.0126046486564757
2022-04-06,sh.000300,4263.8411,-0.0028845222103583
2022-04-07,sh.000300,4209.0998,-0.012921620088143
2022-04-08,sh.000300,4230.7669,0.0051344762590908
2022-04-11,sh.000300,4100.0703,-0.0313791569569623
2022-04-12,sh.000300,4179.9727,0.0193005955101295
2022-04-13,sh.000300,4139.737,-0.0096724561655818
2022-04-14,sh.000300,4191.5684,0.0124427244536562
2022-04-15,sh.000300,4188.7472,-0.0006732920909513
2022-04-18,sh.000300,4166.3844,-0.0053530822665646
2022-04-19,sh.000300,4134.9017,-0.0075850538246466
2022-04-20,sh.000300,4070.7889,-0.0156267419256082
2022-04-21,sh.000300,3995.83,-0.0185854962563585
2022-04-22,sh.000300,4013.2498,0.0043500197036596
2022-04-25,sh.000300,3814.9127,-0.0506835559230491
2022-04-26,sh.000300,3784.1198,-0.008104470811487
2022-04-27,sh.000300,3895.5361,0.0290179975409756
2022-04-28,sh.000300,3921.1073,0.0065427805548559
2022-04-29,sh.000300,4016.241,0.0239723021453031
2022-05-05,sh.000300,4010.2102,-0.0015027316517919
2022-05-06,sh.000300,3908.815,-0.0256093998884114
2022-05-09,sh.000300,3877.4364,-0.0080600453959043
2022-05-10,sh.000300,3919.8684,0.0108838681973129
2022-05-11,sh.000300,3976.4231,0.0143246148034332
2022-05-12,sh.000300,3958.74,-0.0044569037960684
2022-05-13,sh.000300,3988.6002,0.0075145494622574
2022-05-16,sh.000300,3956.5378,-0.0080709923597694
2022-05-17,sh.000300,4005.8934,0.0123972768845792
2022-05-18,sh.000300,3991.9069,-0.0034975902707223
2022-05-19,sh.000300,3999.5984,0.0019249195454964
2022-05-20,sh.000300,4077.5998,0.0193145749157608
2022-05-23,sh.000300,4053.9823,-0.0058088490331709
2022-05-24,sh.000300,3959.1541,-0.0236692906248876
2022-05-25,sh.000300,3983.1784,0.0060497022182985
2022-05-26,sh.000300,3993.0446,0.0024739040099373
2022-05-27,sh.000300,4001.2988,0.0020650108508419
2022-05-30,sh.000300,4029.0179,0.0069036405728617
2022-05-31,sh.000300,4091.5176,0.0153933035878122
2022-06-01,sh.000300,4083.1772,-0.0020405417200386
2022-06-02,sh.000300,4089.5682,0.0015639790523067
2022-06-06,sh.000300,4166.085,0.0185373559859627
2022-06-07,sh.000300,4179.1285,0.0031259860808905
2022-06-08,sh.000300,4219.8122,0.009687892711943
2022-06-09,sh.000300,4175.6747,-0.0105146746514019
2022-06-10,sh.000300,4238.9936,0.0150499325427251
2022-06-13,sh.000300,4189.3527,-0.0117796474531033
2022-06-14,sh.000300,4222.3114,0.0078364680935401
2022-06-15,sh.000300,4278.2178,0.0131538177854615
2022-06-16,sh.000300,4250.0614,-0.0066030911144228
2022-06-17,sh.000300,4309.0444,0.0137827327046764
2022-06-20,sh.000300,4330.4328,0.0049513282345046
2022-06-21,sh.000300,4325.5657,-0.0011245613115402
2022-06-22,sh.000300,4270.6227,-0.0127832815285273
2022-06-23,sh.000300,4343.8781,0.0170078725537017
2022-06-24,sh.000300,4394.7723,0.0116482003776887
2022-06-27,sh.000300,4444.2639,0.0111985325313064
2022-06-28,sh.000300,4490.5166,0.0103534973624519
2022-06-29,sh.000300,4421.357,-0.0155210882698089
2022-06-30,sh.000300,4485.0108,0.014294240989372
2022-07-01,sh.000300,4466.7179,-0.0040870151623888
2022-07-04,sh.000300,4496.0303,0.0065409635202975
2022-07-05,sh.000300,4489.5383,-0.0014449839333696
2022-07-06,sh.000300,4423.9698,-0.0147124301638683
2022-07-07,sh.000300,4443.4736,0.0043989751209387
2022-07-08,sh.000300,4428.781,-0.0033120360254255
2022-07-11,sh.000300,4354.6167,-0.016887784237042
2022-07-12,sh.000300,4313.6184,-0.009459504788424
2022-07-13,sh.000300,4321.4617,0.0018166136425215
2022-07-14,sh.000300,4322.0742,0.0001417244072587
2022-07-15,sh.000300,4248.5273,-0.0171630206769606
2022-07-18,sh.000300,4292.5858,0.0103168967033511
2022-07-19,sh.000300,4269.3401,-0.0054300299695491
2022-07-20,sh.000300,4283.8027,0.0033818244642755
2022-07-21,sh.000300,4236.0578,-0.0112080238420979
2022-07-22,sh.000300,4238.2341,0.0005136240463556
2022-07-25,sh.000300,4212.6441,-0.0060561938319452
2022-07-26,sh.000300,4245.9758,0.0078811609744136
2022-07-27,sh.000300,4225.0357,-0.0049439533053767
2022-07-28,sh.000300,4225.6733,0.0001508985816958
2022-07-29,sh.000300,4170.1019,-0.0132381370962928
